# .PCD v.7 - Point Cloud Data file format
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1723
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 1723
DATA ascii
0.03476572 -0.2098819 1.352
0.03734095 -0.2098819 1.352
0.03991619 -0.2098819 1.352
0.03207143 -0.20654 1.347
0.03463715 -0.20654 1.347
0.03720286 -0.20654 1.347
0.03976857 -0.20654 1.347
0.04233429 -0.20654 1.347
0.02950572 -0.2039743 1.347
0.03207143 -0.2039743 1.347
0.03463715 -0.2039743 1.347
0.03720286 -0.2039743 1.347
0.03976857 -0.2039743 1.347
0.04233429 -0.2039743 1.347
0.02950572 -0.2014086 1.347
0.03207143 -0.2014086 1.347
0.03463715 -0.2014086 1.347
0.03734095 -0.2021562 1.352
0.03991619 -0.2021562 1.352
0.04249143 -0.2021562 1.352
0.04506667 -0.2021562 1.352
0.04764191 -0.2021562 1.352
-0.00898 -0.1988429 1.347
-0.006414286 -0.1988429 1.347
0.02950572 -0.1988429 1.347
0.03207143 -0.1988429 1.347
0.03463715 -0.1988429 1.347
0.03734095 -0.199581 1.352
0.03991619 -0.199581 1.352
0.04249143 -0.199581 1.352
0.04506667 -0.199581 1.352
0.04764191 -0.199581 1.352
-0.01150286 -0.1955486 1.342
-0.008946666 -0.1955486 1.342
-0.006414286 -0.1962772 1.347
-0.003862857 -0.1970057 1.352
0.02950572 -0.1962772 1.347
0.03207143 -0.1962772 1.347
0.03463715 -0.1962772 1.347
0.03734095 -0.1970057 1.352
0.03991619 -0.1970057 1.352
0.04249143 -0.1970057 1.352
0.04506667 -0.1970057 1.352
0.04764191 -0.1970057 1.352
-0.01150286 -0.1929924 1.342
-0.008946666 -0.1929924 1.342
-0.006390476 -0.1929924 1.342
-0.003848572 -0.1937114 1.347
-0.001282857 -0.1937114 1.347
0.02961524 -0.1944305 1.352
0.03207143 -0.1937114 1.347
0.03463715 -0.1937114 1.347
0.03734095 -0.1944305 1.352
0.03991619 -0.1944305 1.352
0.04249143 -0.1944305 1.352
0.04506667 -0.1944305 1.352
0.04764191 -0.1944305 1.352
-0.01405905 -0.1904362 1.342
-0.01150286 -0.1904362 1.342
-0.008946666 -0.1904362 1.342
-0.006390476 -0.1904362 1.342
-0.003848572 -0.1911457 1.347
-0.001282857 -0.1911457 1.347
0.001287619 -0.1918553 1.352
0.02985619 -0.1934162 1.363
0.03219048 -0.1918553 1.352
0.03476572 -0.1918553 1.352
0.03734095 -0.1918553 1.352
0.03991619 -0.1918553 1.352
0.04249143 -0.1918553 1.352
0.04506667 -0.1918553 1.352
0.04764191 -0.1918553 1.352
-0.01405905 -0.18788 1.342
-0.01150286 -0.18788 1.342
-0.008946666 -0.18788 1.342
-0.006390476 -0.18788 1.342
-0.003848572 -0.18858 1.347
-0.001282857 -0.18858 1.347
0.001282857 -0.18858 1.347
0.003862857 -0.18928 1.352
0.02985619 -0.19082 1.363
