# .PCD v.7 - Point Cloud Data file format
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1553
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 1553
DATA ascii
-0.03985143 0.09057143 1.268
-0.03743619 0.09057143 1.268
-0.03985143 0.09298667 1.268
-0.03743619 0.09298667 1.268
-0.05778762 0.09713238 1.291
-0.05532857 0.09713238 1.291
-0.03985143 0.0954019 1.268
-0.03743619 0.0954019 1.268
-0.03502095 0.0954019 1.268
-0.03260572 0.0954019 1.268
-0.05778762 0.09959143 1.291
-0.05532857 0.09959143 1.291
-0.05286952 0.09959143 1.291
-0.05041048 0.09959143 1.291
-0.04761714 0.09889714 1.282
-0.04517524 0.09889714 1.282
-0.04256667 0.09851144 1.277
-0.03985143 0.09781715 1.268
-0.03743619 0.09781715 1.268
-0.03502095 0.09781715 1.268
-0.03260572 0.09781715 1.268
-0.06024667 0.1020505 1.291
-0.05778762 0.1020505 1.291
-0.05532857 0.1020505 1.291
-0.05286952 0.1020505 1.291
-0.05025429 0.1017343 1.287
-0.04761714 0.101339 1.282
-0.04517524 0.101339 1.282
-0.04256667 0.1009438 1.277
-0.04013429 0.1009438 1.277
-0.03743619 0.1002324 1.268
-0.03502095 0.1002324 1.268
-0.03270857 0.1005486 1.272
-0.03028571 0.1005486 1.272
-0.02786286 0.1005486 1.272
-0.02544 0.1005486 1.272
-0.02301714 0.1005486 1.272
-0.02059429 0.1005486 1.272
-0.06496286 0.1041857 1.287
-0.06251143 0.1041857 1.287
-0.06024667 0.1045095 1.291
-0.05778762 0.1045095 1.291
-0.05532857 0.1045095 1.291
-0.05270572 0.1041857 1.287
-0.05025429 0.1041857 1.287
-0.04761714 0.103781 1.282
-0.04517524 0.103781 1.282
-0.04256667 0.1033762 1.277
-0.04013429 0.1033762 1.277
-0.03755429 0.1029714 1.272
-0.03513143 0.1029714 1.272
-0.03270857 0.1029714 1.272
-0.03028571 0.1029714 1.272
-0.02786286 0.1029714 1.272
-0.02544 0.1029714 1.272
-0.02301714 0.1029714 1.272
-0.02059429 0.1029714 1.272
-0.01817143 0.1029714 1.272
-0.06496286 0.1066371 1.287
-0.06251143 0.1066371 1.287
-0.06024667 0.1069686 1.291
-0.05778762 0.1069686 1.291
-0.05532857 0.1069686 1.291
-0.05270572 0.1066371 1.287
-0.05025429 0.1066371 1.287
-0.04761714 0.1062229 1.282
-0.04517524 0.1062229 1.282
-0.04273333 0.1062229 1.282
-0.04013429 0.1058086 1.277
-0.0377019 0.1058086 1.277
-0.03526952 0.1058086 1.277
-0.03283714 0.1058086 1.277
-0.03028571 0.1053943 1.272
-0.02786286 0.1053943 1.272
-0.02544 0.1053943 1.272
-0.02301714 0.1053943 1.272
-0.02059429 0.1053943 1.272
-0.01817143 0.1053943 1.272
-0.01574857 0.1053943 1.272
-0.06496286 0.1090886 1.287
-0.06251143 0.1090886 1.287
-0.06024667 0.1094276 1.291
-0.05778762 0.1094276 1.291
-0.05515714 0.1090886 1.287
-0.05270572 0.1090886 1.287
-0.05025429 0.1090886 1.287
-0.04761714 0.1086648 1.282
-0.04517524 0.1086648 1.282
-0.04273333 0.1086648 1.282
-0.04013429 0.108241 1.277
-0.0377019 0.108241 1.277
